Nome_Musica,Artista,Genero,Ano,BPM,Energia,Dancabilidade,Valencia,Loudness,Streams,Taxa_Crescimento,Qtd_Playlists,Compartilhamentos,Taxa_Skip,Taxa_Replay,Popularidade
Perfect,Ed Sheeran,Rock,2015,170,0.48,0.42,0.23,-30.89,611274628,0.39,165,76768,0.12,1.0,57
Baby,Justin Bieber,Eletrônica,2015,85,0.49,0.23,0.5,-4.77,201673654,0.32,21,123939,0.52,0.31,35
Fix You,Coldplay,Eletrônica,2014,138,0.55,0.29,0.6,-22.61,395638636,0.83,41,82442,0.44,0.72,57
Shape of You,Ed Sheeran,Rock,1995,131,0.66,0.63,0.55,-15.23,264404747,0.68,229,3077,0.42,0.1,52
Starboy,The Weeknd,R&B,2019,156,0.84,0.69,0.56,-52.02,326628016,0.55,202,154266,0.36,0.24,57
Like a Virgin,Madonna,Hip-Hop,1981,93,0.51,0.47,0.77,-40.32,583299652,0.67,236,12689,0.77,0.69,58
Single Ladies,Beyoncé,Rock,1984,78,0.9,0.22,0.13,-44.51,134648597,0.83,69,26104,0.49,0.63,52
Without Me,Eminem,Pop,2020,126,0.83,0.82,0.37,-32.74,746776189,0.05,282,143438,0.37,0.84,61
Anti-Hero,Taylor Swift,Pop,2020,156,0.21,0.82,0.92,-2.51,347266331,0.45,64,171106,0.76,0.76,55
Yellow,Coldplay,Pop,2016,88,0.46,0.99,0.44,-20.31,644062785,0.23,87,185858,0.78,0.94,60
Mamma Mia,ABBA,Rock,1989,149,0.25,0.46,0.98,-34.0,563529459,0.62,262,92066,0.31,0.46,55
Blinding Lights,The Weeknd,R&B,1983,101,0.57,0.43,0.63,-36.52,450963221,0.59,230,12728,0.02,0.12,52
Don't Start Now,Dua Lipa,R&B,1991,62,0.25,0.63,0.91,-36.03,583023028,0.13,162,52383,0.0,0.53,53
Single Ladies,Beyoncé,Pop,1995,114,0.47,0.8,0.93,-36.1,617446305,0.77,108,7821,0.37,0.83,74
Beat It,Michael Jackson,Hip-Hop,1989,143,0.35,0.43,0.12,-36.89,483996876,0.99,221,43128,0.04,0.82,62
Thank U Next,Ariana Grande,Eletrônica,2009,133,0.42,0.93,0.41,-58.9,763820824,0.44,194,176103,0.6,0.58,60
Diamonds,Rihanna,Hip-Hop,1989,144,0.99,0.67,0.81,-2.17,121510139,0.11,3,34397,0.41,0.98,60
